Numer macierzy;a_11;a_12;a_13;a_14; a_21;a_22;a_23;a_24;a_31;a_32;a_33;a_34;a_41;a_42;a_43;a_44;
001;-9;-4;-3;-5;-6;-7;-6;-3;5;0;-5;0;-8;2;-6;-7;
002;3;4;4;-9;0;8;9;-7;2;0;8;8;-6;-9;1;9;
003;8;-5;0;6;5;-9;3;-8;-4;-6;-1;-3;7;-6;5;2;
004;2;1;-9;0;3;-8;-7;-5;1;-2;0;-4;8;-9;7;1;
005;3;9;-2;0;8;-8;-9;-5;-3;4;-6;4;9;-4;-8;-1;
006;-8;0;-2;8;2;0;-4;7;2;0;2;1;-7;-3;-4;-6;
007;-7;5;8;-3;3;-1;5;-6;-9;0;-4;-7;6;-3;0;-2;
008;-9;6;1;5;5;6;-6;9;-7;6;-3;8;-3;-2;-1;0;
009;5;1;3;-3;5;7;-7;-2;0;-2;-2;-8;-3;0;9;-4;
010;-7;6;3;6;-9;2;-6;0;-2;-4;-7;0;-6;-9;-4;-8;
011;-6;-1;1;-1;-7;7;0;8;-8;-1;-7;6;9;4;-5;3;
012;-6;-8;-1;8;5;5;5;1;-4;3;-7;1;-3;-1;-9;-1;
013;1;-1;0;-2;7;6;-5;-3;-7;1;1;4;-4;9;1;-3;
014;-5;4;9;1;8;6;-1;-7;4;0;1;0;8;-7;-4;1;
015;3;7;-1;0;4;1;3;-6;-4;7;-8;6;2;9;-1;-3;
016;2;-8;-3;-8;4;-9;0;-3;5;0;-9;-6;-2;-7;1;1;
017;-9;-1;5;6;2;1;8;0;7;8;2;7;-7;1;3;4;
018;0;7;-2;2;0;0;-4;8;-1;-5;2;-2;-6;-6;3;0;
019;-5;4;0;-9;-5;8;9;0;-8;-5;-4;-8;-8;-6;7;-8;
020;3;0;8;2;-9;-5;5;-5;0;4;6;-5;-4;0;-7;6;
021;4;3;-2;-3;0;6;3;-4;0;-1;-3;0;-6;6;6;1;
022;8;7;6;-8;-3;6;-1;-6;3;-7;-8;-2;4;-7;-2;1;
023;-8;5;1;5;-8;3;-4;-1;-1;-3;-3;7;3;-6;4;-2;
024;-5;-4;-1;0;0;-5;-7;-8;1;4;8;4;-4;9;-8;1;
025;-3;0;-2;-3;-1;7;-5;-6;9;7;0;6;-4;-3;0;-2;
026;6;6;3;6;-7;0;7;1;-2;1;8;3;-6;9;1;-1;
027;-8;-2;-9;-8;3;1;3;-1;6;7;3;-7;-9;-8;3;-4;
028;-5;-3;-4;-1;6;-6;1;-4;-1;-6;2;5;5;4;5;3;
029;-4;-5;-9;-3;-2;-8;8;6;-5;4;-3;0;6;3;5;2;
030;0;6;-7;-6;1;6;7;3;9;7;8;-7;7;-3;0;-6;
031;-3;7;-4;-5;8;-6;1;-1;-4;4;-2;0;0;-2;-3;-7;
032;0;0;0;2;-7;2;-2;-4;0;-7;-5;-1;-2;-5;-7;7;
033;-2;-9;-6;2;-4;4;8;7;0;-7;8;-3;6;4;3;-8;
034;8;0;0;-5;3;0;-7;5;-8;0;7;0;2;-7;0;-2;
035;9;-3;1;6;4;-4;5;1;6;-3;-9;0;2;-8;-5;-9;
036;-7;6;1;-2;-1;-8;-6;-8;0;4;6;7;9;-2;5;0;
037;-4;4;6;-9;-5;0;1;-9;6;-5;5;-1;9;8;-3;-6;
038;-5;0;-6;3;4;-6;3;7;8;-9;-2;3;-3;-1;-1;-4;
039;-2;-1;2;8;8;-9;9;-2;5;0;0;1;9;6;0;-6;
040;-1;-5;1;0;8;-8;7;-8;4;-6;3;6;0;-4;0;8;
041;7;-3;-1;2;-5;0;-2;3;-3;6;0;6;-7;2;6;0;
042;-8;8;6;-8;-1;-9;-9;9;-2;0;-2;1;-5;-6;4;-9;
043;9;4;0;1;-1;-5;9;6;-1;-3;4;-6;-3;-6;8;-3;
044;0;8;-2;-5;-6;7;-2;-4;-1;-9;-3;-1;0;-2;1;7;
045;-8;-9;5;-9;3;9;7;0;-4;-5;2;2;6;9;2;8;
046;-4;7;-4;9;-5;4;1;-4;-1;1;-4;-6;-2;1;-9;-3;
047;-8;5;-8;-3;1;9;-9;4;-7;-9;8;-9;0;-6;0;-6;
048;0;8;8;-4;5;-1;5;7;-5;0;-5;6;1;4;-9;2;
049;-3;3;1;0;-7;3;0;-1;0;-1;8;-2;0;-6;1;6;
050;0;8;-3;4;4;-4;-5;2;-8;0;7;-4;-9;-5;6;1;
051;-4;5;-9;-2;7;3;7;-6;4;4;1;3;-4;-8;-5;2;
052;8;-7;1;-6;4;-3;3;-9;7;-7;-5;-5;9;-1;-6;0;
053;-9;-7;0;2;-8;5;8;7;4;1;-7;1;2;-5;-4;9;
054;-2;-5;6;1;8;6;-5;4;-3;-2;8;-7;9;9;6;-1;
055;4;-7;-5;7;-9;4;-6;-4;4;8;0;-2;9;-1;-4;6;
056;1;6;-5;0;-2;-8;0;1;8;-7;3;0;7;-2;0;7;
057;-3;-5;-7;-5;4;0;5;9;6;-2;6;-1;8;4;2;4;
058;7;8;6;-9;6;-4;8;0;-8;6;-4;8;-7;-3;0;7;
059;4;-3;0;-6;6;-5;-2;8;-9;6;-4;9;-8;4;-8;-5;
060;-5;9;1;-5;-9;-2;-2;3;1;7;6;-6;-1;8;2;-9;
061;0;8;3;-6;-4;4;7;-8;8;1;4;-6;0;3;-5;6;
062;2;-1;5;-7;6;-3;8;3;-6;0;-5;-2;-6;5;7;5;
