Numer macierzy;a_11;a_12;a_13;a_14; a_21;a_22;a_23;a_24;a_31;a_32;a_33;a_34;a_41;a_42;a_43;a_44;
001;5;8;-1;1;-7;-4;0;1;3;-4;-5;5;0;-1;-6;6;
002;-1;6;6;0;-6;7;-5;2;1;-6;0;2;9;-5;0;2;
003;-6;5;7;8;4;7;-3;-2;9;-2;4;6;0;-5;1;3;
004;-7;3;0;2;-3;-7;4;-6;3;-5;-5;-2;-2;9;2;-7;
005;-5;0;2;5;-7;-8;-8;-7;-9;2;9;7;-6;-7;1;-7;
006;-4;9;2;-2;1;8;7;3;7;1;-2;-2;-3;-1;6;-5;
007;-9;-5;4;-9;-5;-5;7;-5;-9;-5;-1;0;-9;-6;0;-8;
008;-9;6;1;6;9;-9;-6;4;-9;-8;8;-8;-1;8;-7;4;
009;4;2;2;4;9;4;-4;-6;5;-6;7;3;0;8;-3;6;
010;-7;-6;5;8;0;7;-5;-7;6;-8;3;-5;8;-7;-8;-6;
011;5;4;-4;4;2;-4;-4;-9;-3;6;-6;8;-1;-1;-3;0;
012;-6;-3;3;-3;5;-8;9;-4;-2;3;5;-8;-5;-6;-2;-9;
013;0;-3;-9;6;-3;2;0;6;9;-7;6;2;2;-2;-3;2;
014;1;7;3;6;4;-1;0;4;5;6;4;1;4;1;4;3;
015;-4;1;7;2;-6;4;-5;6;0;-1;7;-9;5;-9;7;0;
016;-8;2;-5;3;9;-3;3;-6;0;-8;-6;0;5;1;-7;-9;
017;-3;1;-4;0;-9;-9;-3;8;2;3;-6;4;-2;-9;0;-4;
018;3;-1;6;-8;-1;0;0;1;5;3;-3;0;-9;-3;5;7;
019;-4;6;2;3;-5;4;-8;-4;0;-2;4;-2;2;-9;3;5;
020;3;-5;6;-5;-2;2;-6;9;4;-4;1;5;-8;-4;0;-6;
021;2;7;6;7;5;7;4;-1;-2;-3;7;-8;8;-8;-2;-2;
022;-4;-7;3;1;-2;-5;-5;9;4;1;9;-1;-3;-2;-8;-6;
023;-5;8;-8;-5;0;-4;4;-2;-2;8;-6;-7;0;2;0;-5;
024;-2;9;-6;-9;-2;-6;0;-2;-2;-8;-8;2;6;-4;-2;-8;
025;-7;0;-5;5;1;-4;-2;-4;-8;-9;8;3;0;9;1;5;
026;-4;-4;-4;6;4;3;4;-7;3;-8;-4;3;6;8;-5;1;
027;-6;7;5;9;0;-3;1;0;-6;8;3;3;-9;-6;7;-1;
028;-4;5;5;-4;-9;-4;-2;5;3;-2;6;-9;-6;-1;-1;-4;
029;-8;-9;-9;-4;7;9;-6;-7;-1;-7;8;0;8;-1;-4;-3;
030;0;3;7;1;9;-5;7;-5;0;-3;4;-5;7;0;4;9;
031;-7;1;3;-3;-4;0;0;-7;-1;0;4;-9;-9;1;-4;-1;
032;8;1;-1;0;3;-5;-2;-7;8;4;-7;-6;0;-2;7;5;
033;2;4;8;-3;-1;3;-6;-9;0;-9;7;6;-1;4;-1;4;
034;-3;2;-4;-6;-4;0;2;1;5;-6;-1;-8;5;6;4;-2;
035;-8;-1;1;7;1;5;-8;-3;5;6;8;5;7;-6;-9;-4;
036;3;8;-4;-5;3;-8;0;-7;6;-3;-7;4;5;-9;0;-9;
037;0;4;-1;2;4;-4;0;-9;-3;3;-4;2;-8;-6;2;9;
038;-3;1;-1;-1;0;-7;0;5;-7;6;-4;0;0;-8;-6;7;
039;6;-5;-7;-1;-1;-7;6;7;0;-3;-5;-1;-5;0;3;0;
040;9;-4;4;-9;-7;-4;6;5;-5;-9;8;0;-2;0;-8;-6;
041;-2;-8;8;9;3;2;9;6;1;9;-8;-6;9;-7;-6;6;
042;-8;9;0;-5;-6;-6;0;-7;6;-3;-1;0;1;4;8;5;
043;3;4;2;-3;-3;5;-3;-8;3;2;-4;-5;-1;4;5;8;
044;-5;-9;9;2;-6;1;-7;-1;6;-1;9;-5;9;5;1;5;
045;-6;5;8;5;0;5;-2;1;3;6;9;0;-3;-7;2;-6;
046;7;6;-9;7;-1;6;-1;6;-1;6;-2;9;7;3;-9;-5;
047;6;5;5;3;7;-9;-9;-6;5;2;-4;6;5;-5;3;-8;
048;1;2;0;-3;-9;-8;-4;3;-8;-9;8;-8;6;3;-8;-5;
049;-1;-6;1;9;3;-5;8;2;7;3;7;0;-9;5;-1;-6;
050;1;0;9;-6;-4;6;-2;1;2;-4;-6;-5;8;-4;0;-6;
051;-7;0;5;0;-1;9;-2;0;-5;2;-6;6;6;-5;-8;-9;
052;6;3;5;1;6;-6;7;-1;0;2;5;-7;3;4;9;-6;
053;9;-9;-6;0;-2;9;6;-9;4;-1;0;8;-7;-1;0;8;
054;-9;-2;7;-2;-6;-5;-3;2;-7;-6;-4;8;-3;-8;9;-7;
055;3;6;2;-4;6;-3;2;0;1;-1;-7;2;4;-1;9;-1;
056;8;0;4;-5;5;2;3;5;-1;-9;-1;4;-8;-6;-4;8;
057;-6;-4;2;8;-5;8;6;2;3;7;-7;-2;7;-3;0;9;
058;0;0;-4;-5;-4;-4;-3;-8;-7;3;4;8;-1;4;6;9;
059;-5;4;-4;5;-1;1;-9;4;-5;0;-9;4;-7;4;-5;-2;
060;-9;-4;-6;6;6;-8;4;3;-1;-1;-3;6;-2;9;1;9;
061;-4;0;8;1;-3;0;7;8;3;2;-9;2;6;-1;0;0;
062;3;5;-9;3;0;-2;1;8;0;4;5;-3;-3;0;1;-9;
063;1;3;-2;1;-4;2;-2;3;4;-7;-9;-1;6;-2;6;3;
064;7;4;-1;2;8;-2;-8;5;9;5;1;3;-4;-4;0;9;
065;1;7;5;9;-5;5;-9;9;-3;-5;-5;-7;-6;-4;9;0;
066;8;5;-2;7;-1;7;-8;3;-6;-7;8;3;-6;-7;-2;9;
067;-1;-3;4;-2;6;6;1;6;8;-1;7;-4;9;-6;1;2;
068;1;-9;-8;3;-1;4;5;-1;5;2;5;-6;-2;8;0;-8;
